error,eyelike_max_normalized_error,eyelike_mean_normalized_error,eyelike_min_normalized_error,gaze_max_normalized_error,gaze_mean_normalized_error,gaze_min_normalized_error,Timm2011
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,0.0125,0.0375,0.1,0.05,0.1,0.25,
0.02,0.075,0.1375,0.25,0.25,0.3375,0.575,
0.03,0.1625,0.225,0.4,0.5125,0.65,0.8375,
0.04,0.2375,0.3625,0.4875,0.6375,0.725,0.8875,
0.05,0.35,0.4375,0.5875,0.7125,0.8,0.95,0.825
0.06,0.425,0.5625,0.6625,0.7375,0.8875,0.95,
0.07,0.5125,0.5875,0.725,0.8125,0.9125,0.9625,
0.08,0.575,0.625,0.775,0.8625,0.9125,0.975,
0.09,0.625,0.7125,0.8375,0.8875,0.925,0.975,
0.1,0.65,0.75,0.85,0.9,0.925,0.975,0.934
0.11,0.7125,0.7875,0.85,0.9125,0.9375,0.975,
0.12,0.7375,0.8125,0.875,0.9125,0.95,0.975,
0.13,0.75,0.825,0.8875,0.9125,0.95,0.975,
0.14,0.7625,0.825,0.8875,0.9125,0.9625,0.975,
0.15,0.8,0.85,0.9125,0.925,0.975,0.9875,0.952
0.16,0.8,0.8625,0.9125,0.9375,0.975,0.9875,
0.17,0.825,0.9,0.925,0.95,0.975,0.9875,
0.18,0.875,0.925,0.9375,0.95,0.9875,0.9875,
0.19,0.875,0.925,0.9375,0.95,0.9875,0.9875,
0.2,0.875,0.9375,0.9375,0.9625,0.9875,0.9875,0.964
0.21,0.875,0.9375,0.95,0.9625,0.9875,0.9875,
0.22,0.8875,0.9375,0.95,0.9625,0.9875,0.9875,
0.23,0.9,0.9375,0.95,0.9625,0.9875,0.9875,
0.24,0.9125,0.95,0.95,0.9625,0.9875,0.9875,
0.25,0.9125,0.95,0.9625,0.9625,0.9875,0.9875,0.98
