id,landmarks_time,face_width,face_height,gaze_time,eye_right_width,eye_right_height,target_right_x,target_right_y,gaze_right_x,gaze_right_y,eye_left_width,eye_left_height,target_left_x,target_left_y,gaze_left_x,gaze_left_y,eyelike_time,eyelike_right_x,eyelike_right_y,eyelike_left_x,eyelike_left_y,headpose_time,gazepoint_time,gazepoint_result_x,gazepoint_result_y,gazecapture_time,gazecapture_result_x,gazecapture_result_y
0000,50526,216,216,28168,56,56,255,187,254,188,57,57,348,187,348,189,24105,255,188,347,189,1606,74,58.8412,34.5432,1.94925e+06,1345.53,188.435
0001,39970,447,496,553568,106,106,229,86,233,91,110,110,414,79,414,85,30266,237,87,405,86,391,108,34.3331,18.0804,44394,1414.63,26.4749
0002,87915,311,311,82496,69,69,253,357,253,360,72,72,374,359,377,363,22300,265,361,365,359,231,30,35.782,26.8818,40972,1418.58,166.37
0003,54206,310,310,138689,75,75,246,212,246,214,78,78,372,211,373,212,28816,248,217,371,208,858,57,35.1769,25.7685,43125,1378.72,80.7883
0004,41756,216,216,30851,57,57,260,194,262,195,51,51,364,193,366,194,33773,266,190,363,198,338,31,0,36.8783,40966,1175.58,-62.7743
0005,42569,180,180,4669,39,39,294,142,293,142,37,37,363,138,361,139,29100,291,142,363,139,460,31,63.9571,45,39817,1564.67,-247.498
0006,38992,151,150,5493,37,37,278,140,280,141,39,39,342,135,343,136,29614,280,142,343,136,424,29,72,45,40593,1249.12,362.686
0008,32741,105,104,2501,30,30,289,188,290,185,29,29,339,184,339,183,29638,292,187,338,184,433,31,64.3654,45,41209,1450.37,-46.8705
0009,40750,259,288,30622,42,42,244,81,232,78,64,64,329,88,341,88,25994,266,92,307,77,296,33,0,0,40839,2024.47,-169.849
0010,38253,180,180,11278,45,45,264,154,266,155,46,46,340,151,342,151,26060,268,155,340,152,434,30,57.3202,42.3447,42879,1443.21,315.774
0011,87855,125,125,3359,33,33,260,148,261,148,35,35,320,136,320,137,31647,264,149,317,136,458,33,72,45,43037,880.59,-25.5766
0012,39258,180,180,12267,46,46,286,176,287,179,46,46,369,182,369,183,30950,291,179,366,183,432,31,0,45,40645,1547.45,139.921
0013,85753,259,259,60067,63,63,238,297,238,298,69,69,344,288,345,290,24273,244,302,340,286,283,31,72,34.3507,41242,1337.13,524.904
0014,32422,259,259,61607,67,67,204,150,206,151,64,64,307,157,327,154,29177,221,146,311,157,317,30,0,31.8852,39908,1467.1,30.8475
0015,39216,105,105,1717,31,31,303,121,302,122,30,30,353,123,354,124,26449,305,123,350,124,413,30,0,45,40529,1538.95,-166.113
0017,39994,125,126,2573,34,34,342,139,343,139,33,33,400,142,398,141,31360,342,139,400,141,596,30,72,45,40398,1310.16,-89.5954
0018,37010,447,447,463646,99,99,213,163,215,164,107,107,396,147,413,151,23517,243,167,386,144,329,31,30.0384,18.5438,41541,1401.45,0.623826
0019,84421,216,216,31440,59,59,295,247,296,248,56,56,388,248,389,248,23954,295,246,390,250,328,30,0,34.4524,40823,1474.64,-498.362
0021,32262,216,216,29931,57,57,265,166,267,170,55,55,367,168,367,171,29238,273,172,362,168,335,31,17.1503,34.394,40311,1198.87,186.839
0022,90661,216,216,46616,62,62,298,288,298,290,60,60,393,293,393,295,23289,297,288,394,295,342,30,50.077,35.1302,39587,1459.59,-83.0839
0024,40349,259,259,64395,67,67,303,126,303,128,67,67,408,138,409,140,31255,302,128,390,135,431,31,72,32.3639,40715,1471.81,210.21
0025,45855,259,259,20809,56,56,301,166,302,168,49,49,401,179,402,181,28413,305,167,400,183,271,31,0,44.9331,40835,1680.58,170.018
0026,43624,105,105,587,27,27,368,162,370,163,21,21,410,160,411,161,26358,369,160,412,165,338,30,0,45,40097,1516.75,229.731
0027,37958,311,310,265909,90,90,250,131,252,132,91,91,396,131,397,132,26352,252,129,397,134,315,31,29.4866,22.2392,40781,1460.64,113.975
0028,39849,216,216,37067,58,58,263,211,263,213,58,58,353,212,352,214,24683,250,209,365,218,326,29,72,34.519,43516,1360.78,618.925
0030,32132,311,311,112091,55,55,299,109,299,110,84,84,404,114,404,113,25537,309,124,395,99,354,37,72,40.2672,42318,1243.44,-135.159
0031,38684,216,216,20103,47,47,280,98,280,99,56,56,366,85,367,85,32801,287,104,360,80,417,32,72,45,43350,2508.91,109.372
0032,38645,105,105,1260,31,31,304,127,306,127,24,24,352,132,354,132,26979,307,124,353,136,284,30,0,45,39896,1454.09,81.652
0034,41540,259,259,80451,67,67,229,218,233,227,72,72,346,214,351,217,28827,244,226,337,215,437,35,72,37.3011,41143,2391.28,198.856
0035,35823,126,125,1678,31,31,319,140,321,142,30,30,376,142,375,142,20632,320,142,377,144,425,32,0,45,40577,1617.8,215.275
0036,89144,151,150,11003,44,44,276,376,273,374,45,45,348,383,353,381,25147,283,373,344,381,275,29,13.2147,42.8686,43374,1496.61,16.0893
0037,44105,126,125,3929,36,36,387,144,388,144,34,34,448,143,449,143,31512,393,142,445,145,333,31,0,45,42152,1278.97,151.333
0039,39189,259,259,132528,73,73,349,157,349,157,73,73,466,157,468,158,25344,356,157,461,158,435,34,20.1373,27.7406,42576,1241.18,-49.1061
0040,84033,372,373,653107,110,110,255,321,255,322,115,115,421,329,421,329,24655,255,322,419,326,249,31,52.8583,19.5846,42327,1271.55,-165.989
0044,41014,105,105,513,21,21,290,110,290,111,26,26,333,99,334,99,27279,296,112,328,98,335,31,72,45,41414,864.019,413.36
0046,40452,104,104,976,25,25,185,145,185,146,28,28,229,144,228,144,28803,188,150,226,143,331,37,72,45,41897,2519.34,269.105
0048,38356,373,373,1.37721e+06,134,134,157,118,156,114,136,136,368,113,369,111,19897,171,117,346,110,211,29,43.2281,14.6732,40510,1564.21,228.142
0049,38065,150,150,3887,37,37,314,125,315,125,36,36,375,135,374,134,27104,314,124,375,135,425,29,0,45,40374,1454.25,219.528
0050,41543,88,87,262,21,21,297,92,298,91,21,21,336,95,336,92,35339,300,83,332,84,341,29,0,45,39213,1263.77,-312.135
0052,40659,216,216,18751,45,45,281,176,281,171,54,54,364,179,364,179,34225,291,182,354,169,294,30,72,45,39634,2309.64,-75.9491
0053,40163,311,310,198833,87,87,248,131,249,133,84,84,383,140,384,143,23409,246,130,386,146,369,30,33.9457,23.3332,38993,1566.32,159.589
0054,66486,372,372,264287,91,91,237,376,236,379,90,90,376,413,378,413,23249,237,377,377,414,231,29,27.8792,20.7847,40077,1408.56,4.64626
0055,58865,125,125,2424,34,34,386,194,385,195,31,31,445,201,447,201,26977,388,195,444,202,287,29,0,45,38626,80.2564,-373.073
0056,43060,311,311,157797,79,79,250,99,250,101,82,82,397,103,396,105,26900,258,104,388,102,332,32,57.2964,23.3361,41160,1650.31,-18.6654
0057,86161,311,310,223791,85,85,248,391,248,391,88,88,390,390,392,391,30972,247,393,392,391,586,58,44.8231,24.2402,41655,1398.4,170.308
0058,37381,180,180,12502,42,42,261,168,261,168,49,49,341,160,342,160,26302,266,173,336,155,288,31,72,44.3445,41864,1502.71,217.256
0059,37018,259,259,81640,64,64,361,120,361,120,74,74,481,145,484,146,25787,375,124,470,140,420,29,72,38.218,40023,1869.37,-308.405
0062,39674,181,180,15077,51,51,347,59,341,57,48,48,427,84,447,94,24974,367,69,420,82,418,29,0,42.423,39011,2264.6,-140.935
0063,41841,125,125,1472,25,25,383,150,375,151,32,32,431,144,428,144,31684,384,154,420,141,371,33,72,45,40085,1320.6,103.744
0064,82470,447,447,1.16139e+06,127,127,233,404,209,359,130,130,432,402,432,403,25069,250,353,407,350,322,30,72,45,40794,1520.46,47.5871
0066,37056,87,87,145,20,20,340,56,341,55,18,18,372,50,372,50,29369,340,54,375,52,380,29,0,45,38142,479.955,-766.634
0070,37906,180,180,10380,42,42,287,180,276,180,41,41,355,168,355,169,29075,287,178,355,171,420,29,72,45,39595,1447.95,303.171
0071,41180,87,88,154,13,13,292,112,289,113,21,21,321,111,321,111,32581,296,115,317,108,299,29,72,45,39005,790.394,247.723
0073,38842,216,216,17234,49,49,274,217,272,217,48,48,355,216,357,216,28779,273,218,357,216,421,29,36.9395,38.2786,41119,1496.47,80.0762
0075,31985,259,259,95711,73,73,256,124,252,126,73,73,385,124,384,126,23964,259,123,377,128,306,30,60.5971,26.4378,45796,1314.41,173.561
0076,39296,125,126,2382,33,33,328,143,325,141,33,33,384,147,384,146,30258,331,142,379,145,549,38,72,45,40145,1146.37,-266.038
0077,41958,105,105,381,24,24,351,76,348,75,21,21,390,70,391,70,28533,351,73,388,72,424,30,0,45,43926,778.966,-964.334
0079,50308,150,150,6787,38,38,346,179,345,180,39,39,410,181,412,180,28052,347,178,409,182,428,30,72,45,47266,1458.95,244.73
0081,37334,150,150,5636,39,39,361,169,361,169,39,39,427,165,428,165,29980,362,169,428,165,434,30,72,45,51404,1016.95,-40.711
0082,38665,150,150,6762,45,45,299,176,300,176,33,33,357,175,358,176,28784,313,171,365,184,301,31,0,45,46521,1863.67,-290.28
0083,84285,447,447,732015,110,110,189,291,188,290,119,119,370,287,367,284,25856,185,289,367,283,365,30,72,17.9998,46750,2524.47,-120.827
0085,39242,104,104,685,21,21,280,126,281,127,27,27,321,126,324,126,30933,288,130,319,124,347,32,72,45,47894,3073.41,797.914
0087,40847,373,414,148688,73,73,163,85,165,86,84,84,301,93,310,94,27353,167,87,296,91,423,30,72,23.7629,47121,1409.77,27.7757
0089,90461,259,259,80439,69,69,230,230,228,233,69,69,338,236,337,238,20355,230,233,334,238,315,31,41.5246,29.3991,45042,1720.89,-24.908
0091,38844,105,104,1354,28,28,349,112,349,112,30,30,394,110,396,110,29811,352,114,393,109,282,30,63.1449,45,47552,768.201,302.594
0092,88451,373,372,340880,93,93,267,355,263,357,98,98,383,466,380,468,23304,263,368,378,459,294,29,36.8024,18.1171,39508,1489.45,-430.236
0098,36921,88,88,191,21,21,320,148,321,148,19,19,357,147,358,147,30761,322,148,357,148,417,29,0,45,39116,1462.77,275.867
0100,89504,595,536,1.97485e+06,146,146,195,281,197,282,149,149,421,339,421,340,25046,198,282,421,337,261,30,32.589,14.139,45685,1520.81,-78.6702
0101,42322,311,310,290370,93,93,270,146,273,147,93,93,413,145,416,145,21338,277,146,412,144,315,29,34.038,21.4984,39727,1382.64,-347.44
0104,60578,447,447,649579,114,114,220,225,238,173,112,112,415,237,440,187,30113,228,167,428,177,256,30,3.32322,19.9629,39752,1283.06,916.538
0105,89583,126,125,2088,31,31,315,132,313,131,33,33,368,138,372,137,29065,319,133,367,139,405,58,72,45,44281,1406.72,-41.6721
0107,38001,151,150,6045,37,37,280,188,282,187,42,42,351,184,350,183,29554,289,189,341,169,369,35,72,45,39799,1624.08,191.944
0108,39698,87,87,530,25,25,337,101,335,101,22,22,374,97,373,97,33540,335,99,373,98,426,29,0,45,38810,-365.162,-208.213
0110,88611,259,259,104937,72,72,208,289,207,290,76,76,325,276,325,278,32733,210,294,321,273,363,31,72,26.5966,39188,1402.52,453.563
0113,73106,259,259,53621,66,66,262,276,263,276,64,64,367,267,368,268,28769,261,276,370,268,407,31,42.1726,32.6502,42429,1437.18,-17.5918
0114,32079,180,181,6898,42,42,188,112,188,112,41,41,257,107,257,107,31075,188,111,254,105,425,29,72,45,38684,1806.57,103.11
0115,39077,216,216,38703,61,61,262,213,263,212,57,57,368,204,369,204,25687,265,211,368,204,365,31,0,35.1961,43692,1445.2,-13.3989
0116,36984,105,104,552,26,26,342,164,340,162,22,22,383,174,383,174,32728,341,162,382,174,370,37,0,45,40195,1275.03,145.102
0117,44291,180,180,12128,34,34,385,130,387,132,49,49,441,158,441,162,19840,392,142,437,152,301,33,72,45,39156,1084.38,49.3573
0118,49465,311,310,114183,77,77,275,222,276,223,73,73,398,226,400,227,29512,272,219,402,232,358,29,25.1751,28.1303,39278,1462.19,357.704
